menu,producto,cantidad,unidad,notas
Paella Valenciana Tradicional,Pollo fresco,300,g,cortado en trozos medianos sin piel en exceso se sofríe al inicio hasta dorar para sellar y aportar 
Paella Valenciana Tradicional,Conejo Fresco,200,g,cortado en trozos pequeños se cocina junto con el pollo hasta que esté bien dorado y jugoso.
Paella Valenciana Tradicional,Arroz bomba,200,g,se añade después del sofrito se distribuye uniformemente en la paellera y no se debe revolver durant
Paella Valenciana Tradicional,Judías verdes,100,g,limpias y cortadas en trozos se sofríen junto con las carnes para que liberen su sabor.
Paella Valenciana Tradicional,Tomate,80,g,triturado o rallado se incorpora al sofrito y se cocina hasta que reduzca y concentre su sabor.
Paella Valenciana Tradicional,Ajo,10,g,picado finamente se añade al sofrito antes del tomate para aromatizar la preparación.
Paella Valenciana Tradicional,Azafrán,5,g,disuelto previamente en un poco de caldo caliente se agrega al arroz para dar color y aroma caracter
Paella Valenciana Tradicional,Sal Marina,5,g,se añade al gusto durante la cocción del arroz para equilibrar los sabores.
Paella Valenciana Tradicional,Aceite de oliva,50,ml,se utiliza al inicio para sofreír las carnes y las verduras base fundamental del plato.
Paella de Mariscos,Langostinos,200,g,limpios y sin cáscara se saltean ligeramente al inicio para sellar su sabor y luego se reservan o se
Paella de Mariscos,Mejillones,150,g,previamente lavados y sin impurezas se añaden durante la cocción para que se abran y aporten sabor a
Paella de Mariscos,Calamares,150,g,cortados en rodajas se sofríen al inicio junto con los langostinos para dar base de sabor al plato.
Paella de Mariscos,Pulpo,100,g,cocido previamente y cortado en trozos pequeños se incorpora junto con los mariscos para aportar tex
Paella de Mariscos,Arroz bomba,200,g,se agrega después del sofrito se distribuye uniformemente y no se debe revolver durante la cocción.
Paella de Mariscos,Tomate,80,g,triturado se añade al sofrito para formar la base del sabor.
Paella de Mariscos,Ajo,10,g,picado finamente se incorpora al inicio del sofrito para aromatizar el aceite.
Paella de Mariscos,Azafrán,5,g,disuelto en un poco de caldo caliente se añade al arroz para dar color y aroma característico.
Paella de Mariscos,Sal Marina,5,g,se agrega al gusto durante la cocción para resaltar los sabores del mar.
Paella de Mariscos,Aceite de oliva,50,ml,se utiliza para sofreír los mariscos y preparar la base del plato.
Paella Mixta,Pollo fresco,200,g,cortado en trozos medianos se sofríe al inicio hasta dorar para sellar y aportar sabor.
Paella Mixta,Langostinos,150,g,limpios y sin cáscara se saltean ligeramente junto con el pollo para integrar sabores del mar.
Paella Mixta,Calamares,120,g,cortados en rodajas se sofríen junto con los demás ingredientes para aportar textura y sabor.
Paella Mixta,Arroz bomba,200,g,se añade después del sofrito se distribuye de manera uniforme y no se debe revolver durante la cocci
Paella Mixta,Tomate,80,g,triturado se incorpora al sofrito para crear la base del sabor.
Paella Mixta,Pimentón,50,g,cortado en tiras o trozos pequeños se añade al sofrito para dar color y sabor.
Paella Mixta,Ajo,10,g,picado finamente se agrega al inicio del sofrito para aromatizar el plato.
Paella Mixta,Azafrán,5,g,disuelto en caldo caliente se incorpora al arroz para dar color y aroma característico.
Paella Mixta,Sal Marina,5,g,se añade al gusto durante la cocción para equilibrar los sabores.
Paella Mixta,Aceite de oliva,50,ml,se utiliza para sofreír todos los ingredientes y formar la base del plato.
Arroz Negro,Calamares,180,g,limpios y cortados en rodajas se sofríen al inicio para aportar el sabor principal del plato.
Arroz Negro,Langostinos,150,g,pelados y limpios se saltean ligeramente junto con los calamares para integrar sabores.
Arroz Negro,Arroz bomba,200,g,se añade después del sofrito se distribuye uniformemente y no se debe revolver durante la cocción.
Arroz Negro,Tinta de calamar,10,g,se disuelve en el caldo y se incorpora al arroz para dar el color negro característico y sabor inten
Arroz Negro,Tomate,80,g,triturado se utiliza como base del sofrito para aportar acidez y cuerpo.
Arroz Negro,Ajo,10,g,picado finamente se añade al inicio para aromatizar el aceite.
Arroz Negro,Sal Marina,5,g,se agrega al gusto durante la cocción.
Arroz Negro,Aceite de oliva,50,ml,se utiliza para sofreír los ingredientes y formar la base del plato.
Sangría Española,Vino tinto,250,ml,base principal de la bebida se utiliza frío para dar el sabor característico de la sangría.
Sangría Española,Jugo de naranja,100,ml,se añade para aportar frescura y un toque cítrico que equilibra el vino.
Sangría Española,Agua mineral,50,ml,se incorpora para suavizar la mezcla y darle un toque refrescante.
Sangría Española,Azúcar,10,g,se disuelve en la mezcla para endulzar al gusto.
Sangría Española,Canela,2,g,se añade en rama o en polvo para aromatizar la bebida.
