tipo_movi,motivo_movi,fecha_movi,cant_movi,stock_anterior,stock_posterior,id_emple_movi_fk,id_produ_movi_fk
entrada,Compra semanal de carnes frescas,2026-04-01,25.0,50.0,75.0,Admin,Pollo Fresco
entrada,Reposición de conejo para paellas,2026-04-01,15.0,30.0,45.0,Admin,Conejo Fresco
salida,Consumo diario paellas valencianas,2026-04-02,3.5,75.0,71.5,Cocina01,Pollo Fresco
salida,Consumo paellas mixtas y valencianas,2026-04-02,2.8,45.0,42.2,Cocina01,Conejo Fresco
entrada,Compra de arroz bomba español,2026-04-03,50.0,0.1,50.1,Admin,Arroz Bomba
salida,Consumo paellas del día,2026-04-03,4.2,50.1,45.9,Cocina02,Arroz Bomba
entrada,Pedido de mariscos frescos,2026-04-04,10.0,0.04,10.04,Admin,Langostinos
entrada,Mariscos del Pacífico - mejillones,2026-04-04,8.0,0.035,8.035,Admin,Mejillones
salida,Paellas de mariscos y arroz negro,2026-04-04,2.5,10.04,7.54,Cocina01,Langostinos
salida,Consumo paellas de mariscos,2026-04-04,1.8,8.035,6.235,Cocina01,Mejillones
entrada,Reposición calamares frescos,2026-04-05,5.0,0.025,5.025,Admin,Calamares
salida,Paellas mixtas y arroz negro,2026-04-05,1.6,5.025,3.425,Cocina02,Calamares
entrada,Compra de verduras frescas,2026-04-06,15.0,0.04,15.04,Admin,Judías Verdes
entrada,Tomates frescos del campo,2026-04-06,12.0,0.06,12.06,Admin,Tomate
salida,Sofritos para paellas,2026-04-06,0.8,12.06,11.26,Cocina01,Tomate
entrada,Aceite de oliva extra virgen,2026-04-07,20.0,30.0,50.0,Admin,Aceite de Oliva
salida,Consumo diario en cocina,2026-04-07,1.5,50.0,48.5,Cocina02,Aceite de Oliva
entrada,Azafrán español premium,2026-04-08,0.1,0.005,0.105,Admin,Azafrán
salida,Paellas del fin de semana,2026-04-08,0.035,0.105,0.07,Cocina01,Azafrán
entrada,Vino tinto Rioja para sangría,2026-04-09,30.0,50.0,80.0,Admin,Vino Tinto
salida,Sangrías del fin de semana,2026-04-09,8.5,80.0,71.5,Bar01,Vino Tinto
entrada,Jugos naturales de naranja,2026-04-10,25.0,30.0,55.0,Admin,Jugo de Naranja
salida,Preparación de sangrías,2026-04-10,3.2,55.0,51.8,Bar01,Jugo de Naranja
entrada,Lácteos frescos semanal,2026-04-11,30.0,40.0,70.0,Admin,Leche Entera
entrada,Crema de leche para postres,2026-04-11,15.0,20.0,35.0,Admin,Crema de Leche
salida,Flanes y cremas catalanas,2026-04-11,4.5,70.0,65.5,Repostería,Leche Entera
salida,Postres del día,2026-04-11,2.8,35.0,32.2,Repostería,Crema de Leche
entrada,Huevos frescos de granja,2026-04-12,50.0,100.0,150.0,Admin,Huevo
salida,Postres y preparaciones,2026-04-12,18.0,150.0,132.0,Cocina01,Huevo
entrada,Papas para patatas bravas,2026-04-13,40.0,100.0,140.0,Admin,Papa
salida,Patatas bravas del día,2026-04-13,12.5,140.0,127.5,Cocina02,Papa
ajuste,Inventario físico ajuste menor,2026-04-14,0.0,127.5,126.8,Admin,Papa
entrada,Chocolate premium para postres,2026-04-14,2.0,0.03,2.03,Admin,Chocolate
salida,Churros con chocolate,2026-04-14,0.6,2.03,1.43,Repostería,Chocolate
entrada,Jamón serrano para tapas,2026-04-15,3.0,0.03,3.03,Admin,Jamón Serrano
salida,Tablas de tapas vendidas,2026-04-15,1.2,3.03,1.83,Cocina01,Jamón Serrano
entrada,Quesos para tapas,2026-04-15,2.5,0.02,2.52,Admin,Queso
salida,Tapas del día,2026-04-15,0.96,2.52,1.56,Cocina01,Queso
