nom_provee,apellido_provee,fecha_naci_provee,tel_provee,correo_provee,direc_provee,estado_provee
Distribuidora La Granja,S.A.S.,1985-03-15,3101234567,ventas@lagranja.com,Calle 80 #45-30 Bogotá,activo
Mariscos del Pacifico,Ltda.,1990-07-20,3209876543,pedidos@mariscospacifico.com,Carrera 50 #70-15 Cali,activo
Arroces Don Miguel,S.A.,1988-11-10,3156789012,contacto@arrocesdonmiguel.com,Avenida 68 #100-25 Bogotá,activo
Especias Colombianas,E.U.,1995-05-18,3187654321,info@especiascol.com,Calle 72 #20-40 Medellín,activo
Verduras Frescas del Campo,,1992-09-22,3145678901,campo@verdurasfrescas.com,Transversal 30 #50-10 Chía,activo
Vinos y Licores Premium,S.A.S.,1987-02-14,3134567890,ventas@vinosylicores.com,Diagonal 85 #15-35 Bogotá,activo
Lacteos La Hacienda,Ltda.,1991-06-30,3123456789,distribucion@lacteoshacienda.com,Carrera 15 #60-20 Zipaquirá,activo
Carnes Selectas del Valle,S.A.,1989-12-05,3112345678,pedidos@carnesselectas.com,Avenida 25 #40-50 Cali,activo
Granos y Cereales Andinos,,1993-08-12,3198765432,info@granosandinos.com,Calle 100 #30-45 Bogotá,activo
Condimentos Gourmet,E.U.,1994-04-25,3187654320,ventas@condimentosgourmet.com,Carrera 70 #80-15 Bogotá,activo
