nom_menu,precio_menu,des_menu,id_tipo_menu_fk,disponible_menu
Paella Valenciana Tradicional,45000,Arroz con pollo conejo judías verdes garrofón y azafrán. Receta tradicional valenciana,Paellas,True
Paella de Mariscos,52000,Arroz bomba con langostinos mejillones calamares pulpo y azafrán del mediterráneo,Paellas,True
Paella Mixta,48000,Combinación perfecta de carnes y mariscos con arroz bomba y azafrán,Paellas,True
Arroz Negro,44000,Arroz bomba con tinta de calamar calamares frescos y langostinos,Paellas,True
Sangría Española,18000,Vino tinto con frutas frescas canela y especias tradicionales españolas,Bebidas,True
Vino Rioja Crianza,25000,Vino tinto español de la D.O. Rioja. Añejado 12 meses en barrica de roble,Bebidas,True
Cerveza Estrella Galicia,8000,Cerveza española premium con sabor tradicional y refrescante,Bebidas,True
Agua Mineral con Gas,5000,Agua mineral natural con gas refrescante,Bebidas,True
Flan de Coco,12000,Delicioso flan casero elaborado con coco fresco rallado y caramelo artesanal,Postres,True
Crema Catalana,14000,Postre tradicional catalán con crema pastelera y azúcar caramelizado,Postres,True
Churros con Chocolate,16000,Churros recién fritos acompañados de chocolate caliente espeso,Postres,True
Tabla de Tapas,28000,Selección de jamón ibérico quesos manchegos aceitunas y panes artesanales,Aperitivos,True
Gambas al Ajillo,22000,Langostinos frescos salteados con ajo guindilla y aceite de oliva,Aperitivos,True
Patatas Bravas,15000,Patatas fritas con salsa brava picante y alioli casero,Aperitivos,True
